Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Sri Lankan axis deer,Axis Deer,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Crested capuchin,Animalia,Chordata,Vertebrata,Mammalia,Primates,,Cebidae,Sapajus,Sapajus robustus,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Brazil', 'Regions': 'Minas Gerais, Bahia', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Aders's duiker,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Cephalophus,Cephalophus adersi,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Kenya,  Tanzania', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Kloss's gibbon,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Hylobatidae,Hylobates,Hylobates klossii,,,,5.7 kg,,440-635 mm,"Diurnal,Frugivore,Herbivore,Arboreal,Zoochory,Terrestrial,Territorial,Monogamy,Social,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Indonesia', 'Regions': 'Sumatera', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Forest', 'Rainforest'], 'Climate': ['Tropical']}","{'Lifestyle': 'Arboreal, Zoochory, Terrestrial, Territorial,', 'Seasonal behavior': 'Not a migrant'}","Frugivore,,Herbivore","{'Mating behavior': 'Monogamy', 'Pregnancy duration': '7 to 8 months', 'Baby carrying': '1'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Harpy fruit bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Harpyionycteris,Harpyionycteris whiteheadi,,,,83-142 g,,140-153 mm,"Crepuscular,Nocturnal,Frugivore,Herbivore,Zoochory,Island endemic,Terrestrial,Colonial,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Philippines', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Forest', 'Rainforest', 'Anthropogenic biome'], 'Climate': ['Tropical']}","{'Lifestyle': 'Zoochory, Island endemic, Terrestrial,'}","Frugivore,,Herbivore","{'Pregnancy duration': '4-5 months', 'Baby carrying': '1'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Red-tailed chipmunk,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Neotamias,Neotamias ruficaudus,,,,60 g,,,"Terrestrial,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Canada, United States', 'Regions': 'Alberta, British Columbia', 'Biogeographical realms': 'Nearctic'}, 'Biome': ['Forest'], 'Climate': []}",{},,"{'Pregnancy duration': '31 days', 'Baby carrying': '5.5'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Gervai's Beaked Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Ziphiidae,Mesoplodon,Mesoplodon europaeus,Unknown,27-48 yrs,,"1,200 kg",,4.5-5.2 m,"Carnivore,Molluscivore,Piscivores,Aquatic,Precocial,Social,starts with","{'Geography': {'Continents': 'North America, South America, Africa, Europe', 'Subcontinents': 'Caribbean Islands, Sub-Saharan Africa', 'Countries': 'Bahamas, Brazil, Cape Verde, Cuba, France,  Guinea-Bissau, Ireland, Jamaica, Mauritania, Spain,', 'Oceans': 'Trinidad and Tobago, United Kingdom, United States, Italy', 'Biogeographical realms': 'Atlantic Ocean'}, 'Biome': ['Oceanic pelagic zone', 'Marine'], 'Climate': ['Tropical', 'Temperate', 'Cold']}","{'Group name': 'pod, gam, herd, school, mod', 'Lifestyle': 'Aquatic, Precocial,'}","Carnivore,,Molluscivore,,Piscivores","{'Baby carrying': '1 calf', 'Female name': 'cow', 'Male name': 'bull', 'Baby name': 'calf'}",{'Population status': 'Data deficient (DD)'}
Rothschild's porcupine,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Erethizontidae,Coendou,Coendou rothschildi,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'South America, North America', 'Countries': 'Panama, Ecuador,  Colombia', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Data deficient (DD)'}"
Tonkean Macaque,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Macaca,Macaca tonkeana,Unknown,28 yrs,,8.6-10.5 kg,,500-675 mm,"Diurnal,Herbivore,Frugivore,Folivore,Terrestrial,Arboreal,Browsing,Social,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Subcontinents': 'Southeast Asia', 'Countries': 'Indonesia', 'Regions': 'Sulawesi', 'Biogeographical realms': 'Indomalayan', 'Wwf biomes': 'Tropical moist forests'}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': ['Tropical']}","{'Group name': 'troop, barrel, cartload, tribe, wilderness', 'Lifestyle': 'Terrestrial, Arboreal, Browsing,', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Frugivore,,Folivore","{'Pregnancy duration': '173 days', 'Baby carrying': '1 infant', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'infant'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Angolan talapoin,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Miopithecus,Miopithecus talapoin,,,,0.8-1.9 kg,,25-40 cm,"Diurnal,Omnivore,Arboreal,Zoochory,Terrestrial,Dominance hierarchy,Social,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Angola, DR Congo', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest', 'Anthropogenic biome', 'Wetlands '], 'Climate': ['Tropical']}","{'Lifestyle': 'Arboreal, Zoochory, Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",Omnivore,"{'Pregnancy duration': '158 to 166 days', 'Baby carrying': '1', 'Independent age': '3 months'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Dune hairy-footed gerbil,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Gerbillurus,Gerbillurus tytonis,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': [], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Plains viscacha,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Chinchillidae,Lagostomus,Lagostomus maximus,,,,2.000-8.000 kg,,,"Folivore,Granivore,Herbivore,Terrestrial,Social,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Argentina, Bolivia, Paraguay', 'Biogeographical realms': 'Neotropical', 'Wwf biomes': 'Desert and Xeric Shrublands'}, 'Biome': ['Grassland', 'Savanna'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}","Folivore,,Granivore,,Herbivore","{'Pregnancy duration': '145 to 166 days', 'Baby carrying': '1.000 to 4.000'}","{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
West African wild dog,African Wild Dog,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caninae,Canini,,,,,,,"Dominance hierarchy,Highly social,starts with","{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Critically endangered (CR)'}
Meller's mongoose,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Herpestidae,Rhynchogale,Rhynchogale melleri,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'South Africa, DR Congo, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe', 'Regions': 'Eswatini', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest', 'Savanna', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
One-striped opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Monodelphis,Monodelphis unistriata,,,,,,,"Terrestrial,starts with","{'Geography': {}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Critically endangered (CR)'}"
Himalayan pika,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Ochotonidae,Ochotona,Ochotona himalayana,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'China, India, Nepal, Pakistan', 'Regions': 'Tibet  Indomalayan'}, 'Biome': ['Rocky areas '], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Mexican pronghorn,Pronghorn,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Antilocapridae,,,,,,,"Terrestrial,Congregatory,Social,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Grassland', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Broad-striped Malagasy mongoose,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Eupleridae,Galidictis,Galidictis fasciata,,,,380-800 g,,550-640 mm,"Nocturnal,Carnivore,Island endemic,Terrestrial,Solitary,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Madagascar', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest', 'Mountains', 'Rainforest'], 'Climate': ['Tropical']}",{},,{'Baby carrying': '1'},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Montane vole,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Microtus,Microtus montanus,,,,37.3-85 g,,140-220 mm,"Nocturnal,Folivore,Herbivore,Fossorial,Terrestrial,Territorial,Polygamy,Solitary,Not a migrant,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Canada, United States', 'Regions': 'British Columbia', 'Biogeographical realms': 'Nearctic'}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Wetlands ', 'Mountains', 'Riparian', 'Grassland', 'Shrubland'], 'Climate': ['Temperate']}",{},,"{'Mating behavior': 'Polygamy', 'Pregnancy duration': '21 days', 'Baby carrying': '3 to 9', 'Independent age': '15 days'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Azara's night monkey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Aotidae,Aotus,Aotus azarae,,,,0.6-1 kg,,240-370 mm,"Nocturnal,Omnivore,Arboreal,Terrestrial,Monogamy,Social,Not a migrant,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Argentina, Bolivia, Brazil, Paraguay, Peru', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Forest', 'Savanna'], 'Climate': []}","{'Lifestyle': 'Arboreal, Terrestrial,', 'Seasonal behavior': 'Not a migrant'}","Omnivore,","{'Mating behavior': 'Monogamy', 'Pregnancy duration': '126 to 133 days', 'Baby carrying': '1 to 2'}","{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Laxmann's shrew,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Soricidae,Sorex,Sorex caecutiens,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Europe, Asia', 'Countries': 'China, Japan, North Korea, South Korea, Mongolia, Finland, Estonia,  Latvia, Lithuania, Norway,', 'Biogeographical realms': 'Poland, Sweden, Belarus, Russia, Ukraine, Kazakhstan', 'Wwf biomes': 'Palearctic'}, 'Biome': ['Forest', 'Shrubland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Red-tailed phascogale,Animalia,Chordata,Vertebrata,Mammalia,Dasyuromorphia,,Dasyuridae,Phascogale,Phascogale calura,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Countries': 'Australia', 'Regions': 'Western Australia', 'Biogeographical realms': 'Australasian', 'Wwf biomes': 'Desert and Xeric Shrublands'}, 'Biome': ['Forest', 'Savanna', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Stable', 'Population status': 'Near Threatened (NT)'}"
Gray woolly monkey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Atelidae,Lagothrix,Lagothrix cana,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Ecuador, Brazil, Colombia, Peru  Amazonas', 'Regions': 'Neotropical'}, 'Biome': ['Forest', 'Savanna'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Black-footed mongoose,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Herpestidae,Bdeogale,Bdeogale nigripes,,,,900-3000 g,,375-600 mm,"Nocturnal,Carnivore,Insectivores,Terrestrial,Solitary,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Equatorial Guinea, Cameroon, Central African Republic, Congo, DR Congo, Gabon, Nigeria', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest', 'Rainforest', 'Riparian'], 'Climate': ['Tropical']}",{},,{'Baby carrying': '1'},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Siau Island tarsier,Animalia,Chordata,Vertebrata,Mammalia,Primates,,Tarsiidae,Tarsius,Tarsius tumpara,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Crowned Sifaka,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Indriidae,Propithecus,Propithecus coronatus,4-36 Thou,17.5 yrs,,3.5-5 kg,,87-102 cm,"Diurnal,Herbivore,Folivore,Frugivore,Arboreal,Browsing,Terrestrial,Social,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Subcontinents': 'Sub-Saharan Africa', 'Countries': 'Madagascar', 'Biogeographical realms': 'Afrotropical', 'Wwf biomes': 'Tropical dry forest, Tropical moist forests'}, 'Biome': ['Forest'], 'Climate': ['Tropical']}","{'Group name': 'conspiracy, troop', 'Lifestyle': 'Arboreal, Browsing, Terrestrial,', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Folivore,,Frugivore","{'Reproduction season': 'seasonal', 'Pregnancy duration': '5-6 months', 'Baby name': 'infant'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Japanese mole,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Talpidae,Mogera,Mogera wogura,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Japan', 'Biogeographical realms': 'Palearctic'}, 'Biome': ['Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Ursine tree-kangaroo,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Dendrolagus,Dendrolagus ursinus,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Indonesia', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Andean white-eared opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Didelphis,Didelphis pernigra,,,,,,,"Nocturnal,Omnivore,Zoochory,Terrestrial,Polygyny,Polygamy,Solitary,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Ecuador, Bolivia, Colombia, Peru, Venezuela', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Forest', 'Mountains', 'Rainforest', 'Suburban', 'Urban wildlife', 'Grassland', 'Shrubland'], 'Climate': ['Tropical']}",{},,"{'Mating behavior': 'Polygyny,'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Little native mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Pseudomys,Pseudomys delicatulus,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': ''}, 'Biome': ['Anthropogenic biome', 'Grassland', 'Savanna', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Long-nosed mongoose,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Herpestidae,Herpestes,Herpestes naso,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Equatorial Guinea, Cameroon, Central African Republic, Congo, DR Congo, Gabon, Nigeria', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Northern glider,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Petauridae,Petaurus,Petaurus abiri,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': 'Papua New Guinea', 'Biogeographical realms': 'Australasian'}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Loxodonta exoptata,Animalia,Chordata,Vertebrata,Mammalia,Proboscidea,,Elephantidae,Loxodonta,Loxodonta exoptata,,,,,,,starts with,"{'Geography': {}, 'Biome': [], 'Climate': []}",{},,{},{}
Common Squirrel Monkey,Animalia,Chordata,Vertebrata,Mammalia,Primates,,Cebidae,Saimiri,Saimiri sciureus,Unknown,21-27 yrs,35 km/h,0.5-0.75 kg,,32 cm,"Diurnal,Omnivore,Frugivore,Herbivore,Arboreal,Scansorial,Terrestrial,Polygynandry,Social,Dominance hierarchy,Not a migrant,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Brazil, Colombia, Ecuador, Guyana, Suriname, Venezuela', 'Regions': 'Amapá, Amazonas, Pará, Tocantins, Roraima, Maranhão, Mato Grosso', 'Biogeographical realms': 'Neotropical', 'Wwf biomes': 'Tropical moist forests, Tropical savanna'}, 'Biome': ['Forest', 'Rainforest'], 'Climate': ['Tropical']}","{'Group name': 'troop, barrel, cartload, tribe, wilderness', 'Lifestyle': 'Arboreal, Scansorial, Terrestrial,', 'Seasonal behavior': 'Not a migrant'}","Omnivore,,Frugivore,,Herbivore","{'Mating behavior': 'Polygynandry', 'Reproduction season': 'September-November, births in February-April', 'Pregnancy duration': '150-170 days', 'Baby carrying': '1 infant', 'Independent age': '10 months', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'infant'}","{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Agile antechinus,Animalia,Chordata,Vertebrata,Mammalia,Dasyuromorphia,,Dasyuridae,Antechinus,Antechinus agilis,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': 'Australia', 'Biogeographical realms': 'Australasian'}, 'Biome': ['Forest', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Seba's short-tailed bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Phyllostomidae,Carollia,Carollia perspicillata,,,,15 g,,,"Terrestrial,starts with","{'Geography': {'Continents': 'South America, North America', 'Countries': 'Saint Kitts and Nevis, Trinidad and Tobago, Belize, Costa Rica,  El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama,', 'Regions': 'Ecuador, Bolivia, Brazil, Colombia, Guyana, Paraguay, Peru, Suriname', 'Biogeographical realms': 'French Guiana'}, 'Biome': ['Forest', 'Rainforest', 'Caves'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,"{'Pregnancy duration': '95 days', 'Baby carrying': '1'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Cotton Mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Peromyscus,Peromyscus gossypinus,Unknown,4-5 mos,,34-51 g,,180 mm,"Nocturnal,Omnivore,Terrestrial,Arboreal,Altricial,Zoochory,Scansorial,Solitary,Not a migrant,Aestivation,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'United States', 'Regions': 'Louisiana, Virginia, Missouri, Mississippi, Texas, Alabama, Tennessee, North Carolina, Arkansas, Florida,', 'Biogeographical realms': 'Kentucky, Oklahoma, Georgia, South Carolina', 'Wwf biomes': 'Nearctic'}, 'Biome': ['Forest', 'Riparian', 'Grassland', 'Shrubland', 'Anthropogenic biome', 'Suburban', 'Swamp', 'Wetlands ', 'Urban wildlife', 'Intertidal zone'], 'Climate': ['Temperate']}","{'Group name': 'colony, nest, trip, mischief, horde', 'Lifestyle': 'Terrestrial, Arboreal, Altricial, Zoochory, Scansorial,', 'Seasonal behavior': 'Not a migrant, Aestivation'}",Omnivore,"{'Reproduction season': 'year-round; usually early spring and autumn', 'Pregnancy duration': '23-30 days', 'Baby carrying': '7 pups', 'Independent age': '20-25 days', 'Female name': 'doe', 'Male name': 'buck', 'Baby name': 'pup, pinkie, kit'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Broom hare,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Leporidae,Lepus,Lepus castroviejoi,,,,2.905 kg,,,"Nocturnal,Coprophage,Folivore,Herbivore,Jumping,Terrestrial,Solitary,Not a migrant,Partial Migrant,starts with","{'Geography': {'Continents': 'Europe', 'Countries': 'Spain', 'Biogeographical realms': 'Palearctic'}, 'Biome': ['Chaparral', 'Forest', 'Mountains', 'Grassland', 'Shrubland', 'Anthropogenic biome'], 'Climate': ['Temperate']}","{'Lifestyle': 'Jumping, Terrestrial,', 'Seasonal behavior': 'Not a migrant, Partial Migrant'}","Coprophage,,Folivore,,Herbivore",{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Mazama pocket gopher,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Geomyidae,Thomomys,Thomomys mazama,,,,,,204-213 mm,"Nocturnal,Zoochory,Terrestrial,Solitary,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'United States', 'Regions': 'California, Washington, Oregon', 'Biogeographical realms': 'Nearctic'}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Grassland', 'Forest', 'Savanna', 'Shrubland'], 'Climate': ['Temperate']}",{},,"{'Mating behavior': '30 days', 'Pregnancy duration': '5'}","{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Oldfield mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Peromyscus,Peromyscus polionotus,,1.5 years,,10-15 g,,110-150 mm,"Nocturnal,Granivore,Herbivore,Fossorial,Terrestrial,Territorial,Monogamy,Social,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland', 'Suburban', 'Urban wildlife', 'Intertidal zone', 'Coastal'], 'Climate': ['Temperate']}",{},,"{'Mating behavior': 'Monogamy', 'Pregnancy duration': '24 days', 'Baby carrying': '3 to 4'}","{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Western lowland olingo,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Procyonidae,Bassaricyon,Bassaricyon medius,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'South America, North America', 'Countries': 'Panama, Ecuador, Colombia', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Bronze quoll,Animalia,Chordata,Vertebrata,Mammalia,Dasyuromorphia,,Dasyuridae,Dasyurus,Dasyurus spartacus,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Papua New Guinea, Indonesia', 'Biogeographical realms': 'Australasian, Indomalayan'}, 'Biome': ['Savanna'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Near Threatened (NT)'}"
North African elephant shrew,Animalia,Chordata,Vertebrata,Mammalia,Macroscelidea,,Macroscelididae,Elephantulus,Petrosaltator rozeti,,,,25-70 g,,11-12.5 cm,"Crepuscular,Diurnal,Carnivore,Insectivores,Cursorial,Torpor,Jumping,Terrestrial,Monogamy,Solitary,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Algeria, Libya, Morocco, Tunisia, Western Sahara', 'Biogeographical realms': 'Afrotropical, Palearctic', 'Wwf biomes': 'Desert and Xeric Shrublands'}, 'Biome': ['Forest', 'Grassland', 'Shrubland', 'Rocky areas '], 'Climate': ['Temperate']}",{},,"{'Mating behavior': 'Monogamy', 'Pregnancy duration': '75 days', 'Baby carrying': '1 to 4', 'Independent age': '6 to 10 weeks'}","{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Sichuan deer,Elk,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Malagasy mountain mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Nesomyidae,Monticolomys,Monticolomys koopmani,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Madagascar', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Brown-eared woolly opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Caluromys,Caluromys lanatus,,,,290-410 g,,201-319 mm,"Nocturnal,Omnivore,Arboreal,Scansorial,Terrestrial,Solitary,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest'], 'Climate': ['Tropical']}","{'Lifestyle': 'Arboreal, Scansorial, Terrestrial,'}",Omnivore,{'Baby carrying': '1 to 4'},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
